date_of_service,BRL,Barrie,Belleville,IRL,Kitchener,London,Ottawa,Thorold
2015-05-15,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0
2015-05-19,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0
2015-05-20,340.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2015-05-22,0.0,0.0,0.0,500.0,0.0,0.0,0.0,350.0
2015-05-25,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0
2015-05-27,270.0,0.0,0.0,772.0,0.0,0.0,0.0,0.0
2015-05-29,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0
2015-06-03,340.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0
2015-06-05,0.0,0.0,0.0,420.0,0.0,133.0,0.0,0.0
2015-06-08,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0
2015-06-10,260.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0
2015-06-12,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0
2015-06-15,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0
2015-06-17,300.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0
2015-06-19,0.0,0.0,0.0,629.0,0.0,65.0,0.0,0.0
2015-06-22,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0
2015-06-24,380.0,0.0,83.0,580.0,0.0,0.0,0.0,0.0
2015-06-26,43.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0
2015-06-29,0.0,0.0,0.0,530.0,0.0,0.0,0.0,264.0
2015-07-02,180.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0
2015-07-03,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0
2015-07-06,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0
2015-07-08,160.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0
2015-07-10,0.0,0.0,0.0,80.0,0.0,78.0,0.0,0.0
2015-07-13,0.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0
2015-07-15,388.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0
2015-07-17,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0
2015-07-20,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0
2015-07-22,330.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0
2015-07-24,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
2015-07-27,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0
2015-07-29,310.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0
2015-07-31,0.0,0.0,0.0,920.0,0.0,101.0,0.0,0.0
2015-08-04,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0
2015-08-05,340.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0
2015-08-07,0.0,0.0,0.0,420.0,0.0,0.0,0.0,256.0
2015-08-10,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0
2015-08-11,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
2015-08-12,360.0,0.0,0.0,549.0,0.0,0.0,0.0,0.0
2015-08-14,0.0,15.0,0.0,450.0,0.0,0.0,0.0,0.0
2015-08-17,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0
2015-08-19,300.0,0.0,34.0,660.0,0.0,0.0,0.0,0.0
2015-08-21,0.0,0.0,0.0,460.0,0.0,106.0,0.0,0.0
2015-08-24,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0
2015-08-25,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2015-08-26,370.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0
2015-08-28,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0
2015-08-31,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0
2015-09-02,360.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0
2015-09-04,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0
2015-09-08,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0
2015-09-09,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0
2015-09-10,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-11,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0
2015-09-14,0.0,0.0,0.0,381.0,0.0,93.0,20.0,0.0
2015-09-16,280.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0
2015-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0
2015-09-18,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0
