date_of_service,Thorold
12/8/2014,140
12/8/2014,21
2/4/2015,320
2/4/2015,96
4/2/2015,5
4/2/2015,5
4/2/2015,340
4/2/2015,30
4/2/2015,1
4/2/2015,24
5/22/2015,280
5/22/2015,70
6/29/2015,220
6/29/2015,44
8/7/2015,220
8/7/2015,36
9/17/2015,260
9/17/2015,45
