date_of_service,IRL
5/29/2015,40
5/29/2015,40
5/29/2015,340
5/29/2015,20
6/5/2015,100
6/5/2015,60
6/5/2015,20
6/5/2015,240
6/17/2015,40
6/17/2015,40
6/17/2015,20
6/17/2015,100
6/17/2015,40
6/17/2015,400
6/15/2015,40
6/15/2015,20
6/15/2015,40
6/15/2015,20
6/15/2015,160
6/10/2015,140
6/10/2015,100
6/10/2015,40
6/10/2015,420
6/8/2015,20
6/8/2015,20
6/8/2015,20
6/8/2015,20
6/8/2015,40
6/8/2015,200
6/12/2015,20
6/12/2015,80
6/12/2015,40
6/12/2015,40
6/12/2015,320
6/26/2015,20
6/26/2015,80
6/26/2015,20
6/26/2015,80
6/26/2015,60
6/26/2015,380
6/24/2015,120
6/24/2015,20
6/24/2015,80
6/24/2015,20
6/24/2015,340
6/22/2015,60
6/22/2015,40
6/22/2015,20
6/22/2015,140
5/27/2015,120
5/27/2015,20
5/27/2015,20
5/27/2015,90
5/27/2015,80
5/27/2015,40
5/27/2015,400
5/27/2015,2
6/19/2015,20
6/19/2015,100
6/19/2015,50
6/19/2015,20
6/19/2015,4
6/19/2015,60
6/19/2015,60
6/19/2015,300
6/19/2015,15
7/2/2015,120
7/2/2015,60
7/2/2015,60
7/2/2015,340
7/3/2015,40
7/3/2015,180
6/29/2015,60
6/29/2015,60
6/29/2015,40
6/29/2015,340
6/29/2015,30
7/6/2015,60
7/6/2015,20
7/6/2015,60
7/6/2015,240
7/8/2015,80
7/8/2015,80
7/8/2015,40
7/8/2015,320
7/10/2015,80
7/13/2015,100
7/13/2015,20
7/13/2015,20
7/13/2015,100
7/13/2015,80
7/13/2015,500
7/15/2015,120
7/15/2015,60
7/15/2015,40
7/15/2015,340
7/17/2015,80
7/17/2015,100
7/17/2015,20
7/17/2015,340
7/22/2015,60
7/22/2015,20
7/22/2015,20
7/22/2015,100
7/22/2015,60
7/22/2015,400
7/22/2015,10
7/24/2015,60
7/24/2015,20
7/24/2015,20
7/24/2015,60
7/24/2015,20
7/24/2015,240
7/27/2015,40
7/27/2015,40
7/27/2015,40
7/27/2015,220
8/4/2015,40
8/4/2015,3
8/4/2015,20
8/4/2015,40
8/4/2015,220
8/4/2015,20
8/5/2015,40
8/5/2015,40
8/5/2015,220
8/5/2015,60
7/31/2015,100
7/31/2015,200
7/31/2015,80
7/31/2015,60
7/31/2015,460
7/31/2015,20
7/20/2015,40
7/20/2015,4
7/20/2015,20
7/20/2015,16
7/20/2015,20
7/20/2015,40
7/20/2015,180
8/7/2015,40
8/7/2015,20
8/7/2015,20
8/7/2015,60
8/7/2015,40
8/7/2015,240
8/28/2015,80
8/28/2015,20
8/28/2015,20
8/28/2015,100
8/28/2015,20
8/28/2015,340
8/26/2015,100
8/26/2015,60
8/26/2015,60
8/26/2015,300
8/14/2015,60
8/14/2015,60
8/14/2015,40
8/14/2015,240
8/14/2015,50
8/10/2015,60
8/10/2015,60
8/10/2015,40
8/10/2015,300
8/21/2015,60
8/21/2015,20
8/21/2015,60
8/21/2015,20
8/21/2015,300
8/17/2015,80
8/17/2015,40
8/17/2015,60
8/17/2015,300
8/12/2015,80
8/12/2015,20
8/12/2015,6
8/12/2015,10
8/12/2015,40
8/12/2015,60
8/12/2015,320
8/12/2015,13
8/19/2015,100
8/19/2015,20
8/19/2015,20
8/19/2015,60
8/19/2015,60
8/19/2015,380
8/19/2015,20
7/29/2015,60
7/29/2015,60
7/29/2015,60
7/29/2015,40
7/29/2015,340
8/31/2015,40
8/31/2015,80
8/31/2015,20
8/31/2015,200
8/24/2015,40
8/24/2015,20
8/24/2015,60
8/24/2015,260
9/2/2015,100
9/2/2015,20
9/2/2015,20
9/2/2015,40
9/2/2015,80
9/2/2015,410
9/4/2015,60
9/4/2015,20
9/4/2015,20
9/4/2015,60
9/4/2015,20
9/4/2015,260
9/8/2015,40
9/8/2015,20
9/8/2015,20
9/8/2015,160
9/8/2015,20
9/11/2015,100
9/11/2015,60
9/11/2015,40
9/11/2015,260
9/16/2015,80
9/16/2015,160
9/16/2015,40
9/16/2015,360
9/9/2015,20
9/9/2015,100
9/9/2015,27
9/18/2015,80
9/18/2015,20
9/18/2015,60
9/18/2015,20
9/18/2015,340
9/14/2015,40
9/14/2015,20
9/14/2015,20
9/14/2015,1
9/14/2015,40
9/14/2015,40
9/14/2015,220
9/25/2015,80
9/25/2015,60
9/25/2015,40
9/25/2015,320
9/25/2015,20
9/21/2015,20
9/21/2015,40
9/21/2015,20
9/21/2015,180
9/21/2015,20
9/28/2015,60
9/28/2015,40
9/28/2015,40
9/28/2015,160
9/30/2015,100
9/30/2015,20
9/30/2015,20
9/30/2015,80
9/30/2015,40
9/30/2015,520
9/30/2015,20
