date_of_service,Ottawa
1/5/2015,40
12/9/2014,20
11/3/2014,40
3/9/2015,20
2/9/2015,40
4/6/2015,20
5/4/2015,40
8/11/2015,70
9/14/2015,20
10/14/2015,40
1/5/2015,20
1/5/2015,5
5/5/2015,10
5/5/2015,24
