date_of_service,Belleville
1/14/2015,5
1/14/2015,4
1/14/2015,1
1/14/2015,1
2/16/2015,15
2/16/2015,2
2/16/2015,1
2/16/2015,1
3/31/2015,1
3/31/2015,20
3/31/2015,1
3/31/2015,4
3/31/2015,1
5/13/2015,1
5/13/2015,20
5/13/2015,6
5/13/2015,1
5/13/2015,1
6/24/2015,80
6/24/2015,1
6/24/2015,1
6/24/2015,1
8/19/2015,1
8/19/2015,20
8/19/2015,11
8/19/2015,1
8/19/2015,1
9/30/2015,1
9/30/2015,20
9/30/2015,8
9/30/2015,1
9/30/2015,1
